data;

# Mochila: indice, peso (j,w)
set Moch :=
1 1000
2 1500
3 2000
4 2500;

# Items: indice, valor, peso (i,v,p)
set Item :=
1 504 42
2 803 41
3 667 523
4 1103 215
5 834 819
6 585 551
7 811 69
8 856 193
9 690 582
10 832 375
11 846 367
12 813 478
13 868 162
14 793 898
15 825 550
16 1002 553
17 860 298
18 615 577
19 540 493
20 797 183
21 616 260
22 660 224
23 707 852
24 866 394
25 647 958
26 746 282
27 1006 402
28 608 604
29 877 164
30 900 308
31 573 218
32 788 61
33 484 273
34 853 772
35 942 191
36 630 117
37 591 276
38 630 877
39 640 415
40 1169 873
41 932 902
42 1034 465
43 957 320
44 798 870
45 669 244
46 625 781
47 467 86
48 1051 622
49 552 665
50 717 155
51 654 680
52 388 101
53 559 665
54 555 227
55 1104 597
56 783 354
57 959 597
58 668 79
59 507 162
60 855 998
61 986 849
62 831 136
63 821 112
64 825 751
65 868 735
66 852 884
67 832 71
68 828 449
69 799 266
70 686 420
71 510 797
72 671 945
73 575 746
74 740 46
75 510 44
76 675 545
77 996 882
78 636 72
79 826 383
80 1022 714
81 1140 987
82 654 183
83 909 731
84 799 301
85 1162 718
86 653 91
87 814 109
88 625 567
89 599 708
90 476 507
91 767 983
92 954 808
93 906 766
94 904 615
95 649 554
96 873 282
97 565 995
98 853 946
99 1008 651
100 632 298;
end;
