data;

# Mochila: indice, peso (j,w)
set Moch :=
1 2000
2 5000
3 8000
4 11000
5 14000
6 17000;

# Items: indice, valor, peso (i,v,p)
set Item :=
1 821 220
2 931 184
3 653 786
4 828 691
5 722 258
6 793 534
7 432 373
8 856 771
9 681 667
10 1063 86
11 789 758
12 370 495
13 278 266
14 939 570
15 929 427
16 549 426
17 596 352
18 818 991
19 687 300
20 775 631
21 703 654
22 907 154
23 466 371
24 707 897
25 491 42
26 1088 527
27 924 459
28 661 990
29 837 173
30 867 201
31 417 101
32 837 811
33 552 546
34 1199 704
35 938 683
36 836 350
37 876 511
38 866 981
39 865 37
40 543 309
41 573 185
42 608 695
43 816 853
44 777 434
45 755 881
46 815 508
47 641 579
48 492 491
49 776 864
50 1067 606
51 705 87
52 683 195
53 478 419
54 616 363
55 505 322
56 711 835
57 994 119
58 522 139
59 402 51
60 693 149
61 647 812
62 754 751
63 1004 162
64 251 214
65 961 537
66 821 470
67 927 174
68 612 466
69 519 267
70 884 278
71 707 88
72 907 364
73 926 605
74 963 421
75 570 164
76 897 948
77 389 486
78 1090 277
79 523 554
80 1177 935
81 641 173
82 1041 913
83 899 561
84 900 629
85 706 909
86 598 90
87 455 86
88 813 605
89 695 344
90 661 943
91 475 135
92 390 24
93 774 493
94 932 809
95 1067 762
96 708 104
97 452 353
98 531 618
99 941 948
100 1062 911
101 855 767
102 625 297
103 641 323
104 942 672
105 379 120
106 1324 934
107 1089 787
108 399 478
109 601 25
110 826 269
111 927 1
112 1013 653
113 645 542
114 447 389
115 845 569
116 832 52
117 878 810
118 954 126
119 513 199
120 741 768
121 431 164
122 581 36
123 399 351
124 596 527
125 895 456
126 828 301
127 346 366
128 796 49
129 494 595
130 470 436
131 580 781
132 978 591
133 834 147
134 701 748
135 1093 481
136 392 848
137 925 362
138 798 292
139 427 907
140 921 567
141 681 34
142 699 20
143 710 967
144 747 118
145 952 981
146 705 667
147 797 511
148 978 617
149 984 171
150 770 335
151 664 598
152 703 531
153 919 930
154 835 969
155 619 356
156 780 993
157 1124 765
158 781 533
159 821 605
160 820 265
161 495 373
162 735 205
163 1111 160
164 1018 904
165 601 64
166 675 880
167 735 927
168 691 693
169 972 243
170 836 542
171 643 723
172 1016 184
173 929 640
174 914 67
175 521 669
176 725 754
177 778 937
178 1018 908
179 184 37
180 755 276
181 345 96
182 826 653
183 789 618
184 691 447
185 752 44
186 829 518
187 577 894
188 880 559
189 605 148
190 562 113
191 643 279
192 927 543
193 642 776
194 834 892
195 757 197
196 769 514
197 963 604
198 1104 782
199 582 503
200 707 46
201 852 579
202 635 188
203 580 220
204 588 97
205 673 101
206 925 553
207 1010 722
208 835 793
209 715 369
210 834 887
211 869 648
212 859 637
213 860 817
214 704 552
215 761 764
216 620 252
217 718 576
218 726 379
219 820 956
220 965 625
221 1051 852
222 473 183
223 647 589
224 1085 860
225 822 636
226 611 153
227 694 253
228 722 119
229 746 144
230 772 381
231 400 145
232 932 469
233 731 2
234 359 118
235 722 165
236 789 338
237 615 960
238 990 694
239 909 447
240 393 650
241 746 678
242 1061 372
243 222 98
244 785 179
245 943 694
246 684 880
247 717 243
248 946 258
249 336 112
250 735 704
251 598 854
252 767 319
253 711 791
254 1051 496
255 817 438
256 736 71
257 522 688
258 955 100
259 796 471
260 525 605
261 516 724
262 451 141
263 625 260
264 773 96
265 821 280
266 645 212
267 610 878
268 700 898
269 938 961
270 959 10
271 671 259
272 666 854
273 368 777
274 904 819
275 572 922
276 483 39
277 712 375
278 920 254
279 1205 360
280 656 192
281 843 442
282 708 334
283 775 917
284 769 568
285 547 700
286 805 645
287 1086 827
288 706 377
289 824 718
290 388 765
291 681 779
292 571 197
293 547 439
294 869 598
295 510 120
296 695 479
297 577 461
298 684 39
299 830 1000
300 393 106
301 912 599
302 776 861
303 608 814
304 623 581
305 527 552
306 795 373
307 918 209
308 1025 457
309 655 404
310 617 897
311 841 890
312 538 431
313 701 335
314 659 795
315 583 24
316 937 28
317 837 906
318 649 221
319 810 227
320 466 394
321 926 485
322 494 637
323 830 426
324 362 78
325 1002 515
326 718 665
327 920 470
328 388 284
329 503 568
330 687 622
331 1028 883
332 927 714
333 842 36
334 612 144
335 563 633
336 597 886
337 477 332
338 784 864
339 691 830
340 867 328
341 923 685
342 586 337
343 724 10
344 1062 927
345 714 71
346 975 841
347 942 840
348 1076 853
349 874 635
350 805 192
351 496 743
352 797 618
353 891 653
354 555 426
355 805 676
356 555 697
357 683 999
358 638 485
359 819 917
360 726 821
361 838 835
362 989 905
363 508 734
364 711 41
365 727 22
366 692 362
367 919 171
368 473 170
369 801 189
370 623 582
371 843 210
372 516 653
373 795 945
374 508 406
375 920 527
376 427 351
377 768 603
378 793 375
379 750 580
380 1193 225
381 619 397
382 753 831
383 706 414
384 516 656
385 588 469
386 885 998
387 925 344
388 907 998
389 587 299
390 893 345
391 757 6
392 534 282
393 860 469
394 708 288
395 853 777
396 992 368
397 819 903
398 700 554
399 434 517
400 505 784
401 732 707
402 964 502
403 415 788
404 798 624
405 703 42
406 829 545
407 554 721
408 611 417
409 516 393
410 739 62
411 678 476
412 558 593
413 553 602
414 910 248
415 1200 448
416 699 301
417 886 551
418 719 440
419 916 262
420 656 725
421 573 182
422 580 304
423 714 680
424 880 741
425 835 189
426 755 859
427 671 21
428 912 543
429 1142 613
430 799 139
431 330 230
432 967 890
433 410 142
434 632 824
435 890 325
436 1212 464
437 1128 887
438 668 497
439 882 969
440 622 18
441 507 114
442 815 412
443 833 81
444 1048 900
445 718 16
446 1151 325
447 957 918
448 638 153
449 620 329
450 930 761
451 667 583
452 717 349
453 828 546
454 753 791
455 857 819
456 841 612
457 723 389
458 999 699
459 945 793
460 1060 373
461 994 217
462 470 530
463 823 967
464 646 598
465 805 262
466 715 901
467 701 828
468 719 662
469 450 287
470 447 541
471 834 118
472 544 701
473 969 182
474 593 3
475 954 194
476 715 820
477 815 464
478 993 85
479 952 368
480 879 763
481 786 909
482 655 959
483 581 474
484 1076 607
485 643 573
486 695 7
487 548 704
488 780 32
489 894 971
490 467 503
491 857 133
492 916 931
493 703 371
494 684 520
495 981 855
496 805 364
497 1037 811
498 888 307
499 580 393
500 819 202;
end;
