data;

# Mochila: indice, peso (j,w)
set Moch :=
1 200
2 300
3 400;

# Items: indice, valor, peso (i,v,p)
set Item :=
1 560 40
2 1125 91
3 300 10
4 620 30
5 2100 160
6 431 20
7 68 3
8 328 12
9 47 3
10 122 18
11 322 9
12 196 25
13 41 1
14 25 1
15 425 10
16 4260 280
17 416 10
18 115 8
19 82 1
20 22 1
21 631 49
22 132 8
23 420 21
24 86 6
25 42 1
26 103 5
27 215 10
28 81 8
29 91 2
30 26 1
31 49 10
32 420 42
33 316 6
34 72 4
35 71 8
36 49 10
37 108 1
38 116 40
39 90 86
40 738 11
41 1811 120
42 430 8
43 3060 3
44 215 32
45 58 28
46 296 13
47 620 2
48 418 4
49 47 16
50 81 92;
end;
